               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.070624,             0.24962,                   0,             0.31824,              0.2617,             0.20203,            0.067608,            0.068022,             0.19826,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.068991,             0.23812,                   0,             0.24844,             0.25033,             0.17003,            0.060305,            0.067452,             0.19402,                   0,            0.002476,            0.002476,            0.002476
                  40,             0.06921,             0.25964,                   0,             0.26479,             0.27771,             0.19242,            0.063483,            0.066216,             0.19763,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.067301,             0.25413,                   0,             0.31332,             0.32986,             0.24136,            0.080224,            0.066889,             0.19994,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.069079,             0.24018,                   0,             0.32532,              0.3794,             0.27533,            0.092183,            0.066889,             0.19994,                   0,            0.001882,            0.001882,            0.001882
                  43,             0.06725,             0.23326,                   0,             0.28837,             0.37549,             0.25004,             0.08246,            0.066227,             0.19925,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.067002,             0.25164,                   0,             0.38656,             0.39765,              0.3413,             0.11184,             0.06386,             0.19448,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.066191,             0.24389,                   0,             0.38659,             0.33768,             0.30266,             0.10015,            0.063641,             0.19319,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.064258,             0.24985,                   0,             0.38659,             0.33768,             0.30266,             0.10015,            0.063641,             0.19319,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.065369,             0.22625,                   0,             0.39111,             0.34252,             0.30901,             0.10176,            0.063647,             0.19277,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.064435,             0.22663,                   0,             0.32676,              0.3116,             0.25464,            0.084024,            0.063856,             0.19252,                   0,            0.000694,            0.000694,            0.000694
                  49,             0.06471,             0.24316,                   0,             0.35792,             0.35332,             0.29486,             0.10005,            0.063197,             0.19299,                   0,            0.000496,            0.000496,            0.000496
